조합 번호,과목코드,과목명,학점,시간
1.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14230002,자료구조,3,"월3 ,화1 ,화2"
,14394001,현대암호학,3,"월7 ,월8 ,화6"
2.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14230002,자료구조,3,"월3 ,화1 ,화2"
,14395001,인공지능프로그래밍,3,"수6 ,수7 ,목7"
3.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14230002,자료구조,3,"월3 ,화1 ,화2"
,14397001,네트워크보안,3,"화3 ,수2 ,수3"
4.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14230002,자료구조,3,"월3 ,화1 ,화2"
,14399001,제어시스템보안,3,"금1 ,금2 ,금3"
5.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14230002,자료구조,3,"월3 ,화1 ,화2"
,14400001,정보보호정책,3,"금6 ,금7 ,금8"
6.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14230002,자료구조,3,"월3 ,화1 ,화2"
,3671002,소프트웨어공학,3,"월1 ,월2 ,수1"
7.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14230002,자료구조,3,"월3 ,화1 ,화2"
,8095002,알고리즘,3,"월5 ,월6 ,화5"
8.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14394001,현대암호학,3,"월7 ,월8 ,화6"
,14395001,인공지능프로그래밍,3,"수6 ,수7 ,목7"
9.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
,14207002,웹프로그래밍,3,"월4 ,금4 ,금5"
,14394001,현대암호학,3,"월7 ,월8 ,화6"
,14397001,네트워크보안,3,"화3 ,수2 ,수3"
10.0,13119002,인공지능개론,3,"수5 ,목5 ,목6"
,13971001,시스템보안,3,"수8 ,수9 ,목8"
,13974002,종합프로젝트 (캡스톤디자인),3,"화7 ,화8 ,화9"
